"SSID","BSSID","Mfg Mac","Worst Problem","AP","Channel","Channel Width","802.11 Type","Signal","SNR","Security","Authorization Class","Basic Rates","TX Power","QBSS Station Count","QBSS Channel Utilization","Channel Changes","Country Code","Retries","Max n Rate","Max ac Rate","Max ax Rate","Max be Rate","Clients","Multi-BSSID","Reduced Neighbor Report","Name","Last Seen"
"LRG","Sonicwal:18b169-c83f2b","Sonicwal:18b169-c83f2b","--","10.24.23.90","1","20","n,g,b","-58 dBm","32 dB","WPA2-P","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Sonicwal:18b169-c83f2b","Feb 22,2021 01:44PM"
"LRG","Sonicwal:18b169-c83f23","Sonicwal:18b169-c83f23","--","10.24.23.90","40","40","ac,n,a","-61 dBm","29 dB","WPA2-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","1","--","--","Sonicwal:18b169-c83f23","Feb 22,2021 01:44PM"
"[Hidden]","HewlettP:24dec6-3ea360","ArubaaHe:24dec6-3ea360","Warning(s) 1","ArubaaHe:24dec6-3ea360","11","20","n,g,b","-68 dBm","22 dB","WPA2-E","Unspecified","1,2","--","--","--","2 [11,6,11]","Unknown","0 %","--","--","--","--","--","--","--","ArubaaHe:24dec6-3ea360","Feb 22,2021 01:44PM"
"MOOG1951","HewlettP:24dec6-3ea361","ArubaaHe:24dec6-3ea361","Warning(s) 1","ArubaaHe:24dec6-3ea360","11","20","n,g,b","-67 dBm","23 dB","WPA2-E","Unspecified","2,5.5","--","--","--","2 [11,6,11]","Unknown","0 %","--","--","--","--","--","--","--","ArubaaHe:24dec6-3ea361","Feb 22,2021 01:44PM"
"MOOGGUEST","HewlettP:24dec6-3ea362","ArubaaHe:24dec6-3ea362","Warning(s) 1","ArubaaHe:24dec6-3ea360","11","20","n,g,b","-67 dBm","23 dB","WPA2-P","Unspecified","1,2","--","--","--","2 [11,6,11]","Unknown","0 %","--","--","--","--","--","--","--","ArubaaHe:24dec6-3ea362","Feb 22,2021 01:44PM"
"KAH-Guest","HewlettP:9c1c12-255563","ArubaaHe:9c1c12-255563","--","ArubaaHe:9c1c12-255563","6","20","n,g,b","--","--","WPA2-P","Unspecified","1,2","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","ArubaaHe:9c1c12-255563","Feb 22,2021 01:33PM"
"LRC","Sonicwal:18b169-c83f2a","Sonicwal:18b169-c83f2a","--","10.24.23.90","1","20","n,g,b","-56 dBm","34 dB","WPA2-P","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Sonicwal:18b169-c83f2a","Feb 22,2021 01:44PM"
"Snackers_Final_5G","ASUSTek:d017c2-327f6c","ASUSTekC:d017c2-327f6c","--","ASUSTekC:d017c2-327f68","40","80","ac,n,a","-57 dBm","33 dB","Open","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","ASUSTekC:d017c2-327f6c","Feb 22,2021 01:44PM"
"Snackers_Final_2.4G","ASUSTek:d017c2-327f68","ASUSTekC:d017c2-327f68","--","ASUSTekC:d017c2-327f68","8","20","n,g,b","-46 dBm","44 dB","Open","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","ASUSTekC:d017c2-327f68","Feb 22,2021 01:44PM"
"NetAlly AX Demo - 2.4GHz","Netgear:3c3786-717db6","Netgear:3c3786-717db6","--","192.168.1.1","7","20","ax,n,g,b","-44 dBm","46 dB","WPA2-P","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Netgear:3c3786-717db6","Feb 22,2021 01:44PM"
