"Channel","Center Frequency","802.11 Util","Non 802.11 Util","Frequency Range","Width","Band","Attributes","SNR","Signal","Worst Problem","SSIDs","APs","BSSIDs","Clients","Probing Clients","Interferers"
"64","5.320 GHz","0 %","0 %","5.310 - 5.330 GHz","20","5 GHz UNII - 1/2","DFS","--","--","--","--","--","--","--","1","0"
"128","5.640 GHz","0 %","0 %","5.630 - 5.650 GHz","20","5 GHz UNII - 2 Ext","DFS","--","--","--","1","1","1","--","--","0"
"1","2.412 GHz","0 %","0 %","2.402 - 2.422 GHz","20","2.4 GHz","--","--","--","Warning(s) 1","16","12","20","4","5","3"
"2","2.417 GHz","0 %","0 %","2.407 - 2.427 GHz","20","2.4 GHz","--","--","--","--","--","--","--","--","4","3"
"3","2.422 GHz","0 %","0 %","2.412 - 2.432 GHz","20","2.4 GHz","--","--","--","--","1","1","1","--","1","3"
"4","2.427 GHz","0 %","0 %","2.417 - 2.437 GHz","20","2.4 GHz","--","--","--","--","2","2","2","--","1","4"
"132","5.660 GHz","0 %","0 %","5.650 - 5.670 GHz","20","5 GHz UNII - 2 Ext","DFS","--","--","--","--","--","--","--","--","0"
"5","2.432 GHz","0 %","0 %","2.422 - 2.442 GHz","20","2.4 GHz","--","--","--","--","--","--","--","--","4","4"
"6","2.437 GHz","0 %","0 %","2.427 - 2.447 GHz","20","2.4 GHz","--","--","--","--","13","8","14","--","4","4"
"7","2.442 GHz","0 %","0 %","2.432 - 2.452 GHz","20","2.4 GHz","--","--","--","--","1","1","1","--","1","4"
"8","2.447 GHz","0 %","0 %","2.437 - 2.457 GHz","20","2.4 GHz","--","--","--","--","2","2","2","--","4","4"
"136","5.680 GHz","0 %","0 %","5.670 - 5.690 GHz","20","5 GHz UNII - 2 Ext","DFS","--","--","--","--","--","--","--","1","0"
"9","2.452 GHz","0 %","0 %","2.442 - 2.462 GHz","20","2.4 GHz","--","--","--","Warning(s) 1","1","1","1","--","1","4"
"10","2.457 GHz","0 %","0 %","2.447 - 2.467 GHz","20","2.4 GHz","--","--","--","Warning(s) 1","--","--","--","--","2","11"
"11","2.462 GHz","0 %","0 %","2.452 - 2.472 GHz","20","2.4 GHz","--","--","--","Warning(s) 1","11","7","17","2","--","11"
"12","2.467 GHz","0 %","0 %","2.457 - 2.477 GHz","20","2.4 GHz","Illegal","--","--","Warning(s) 1","--","--","--","--","--","11"
"140","5.700 GHz","0 %","0 %","5.690 - 5.710 GHz","20","5 GHz UNII - 2 Ext","DFS","--","--","--","2","1","2","--","--","0"
"13","2.472 GHz","0 %","0 %","2.462 - 2.482 GHz","20","2.4 GHz","Illegal","--","--","Warning(s) 1","--","--","--","--","--","11"
"14","2.484 GHz","0 %","0 %","2.474 - 2.494 GHz","20","2.4 GHz","Illegal","--","--","Warning(s) 1","--","--","--","--","--","6"
"144","5.720 GHz","0 %","0 %","5.710 - 5.730 GHz","20","5 GHz UNII - 2 Ext","DFS","--","--","--","--","--","--","--","--","0"
"149","5.745 GHz","0 %","0 %","5.735 - 5.755 GHz","20","5 GHz UNII - 3","--","--","--","--","7","3","7","2","4","0"
"153","5.765 GHz","0 %","0 %","5.755 - 5.775 GHz","20","5 GHz UNII - 3","--","--","--","--","--","--","--","--","4","0"
"157","5.785 GHz","0 %","0 %","5.775 - 5.795 GHz","20","5 GHz UNII - 3","--","--","--","--","7","4","13","1","3","0"
"161","5.805 GHz","0 %","0 %","5.795 - 5.815 GHz","20","5 GHz UNII - 3","--","--","--","--","5","2","5","3","5","0"
"36","5.180 GHz","0 %","0 %","5.170 - 5.190 GHz","20","5 GHz UNII - 1/2","--","--","--","--","4","3","4","--","1","0"
"100","5.500 GHz","0 %","0 %","5.490 - 5.510 GHz","20","5 GHz UNII - 2 Ext","DFS","--","--","--","--","--","--","--","1","0"
"165","5.825 GHz","0 %","0 %","5.815 - 5.835 GHz","20","5 GHz UNII - 3","--","--","--","--","1","1","1","--","--","0"
"40","5.200 GHz","0 %","0 %","5.190 - 5.210 GHz","20","5 GHz UNII - 1/2","--","--","--","--","4","3","4","1","4","0"
"104","5.520 GHz","0 %","0 %","5.510 - 5.530 GHz","20","5 GHz UNII - 2 Ext","DFS","--","--","--","1","1","3","--","--","0"
"44","5.220 GHz","0 %","0 %","5.210 - 5.230 GHz","20","5 GHz UNII - 1/2","--","--","--","--","3","1","3","--","7","0"
"108","5.540 GHz","0 %","0 %","5.530 - 5.550 GHz","20","5 GHz UNII - 2 Ext","DFS","--","--","--","--","--","--","--","1","0"
"48","5.240 GHz","0 %","0 %","5.230 - 5.250 GHz","20","5 GHz UNII - 1/2","--","--","--","--","5","2","6","4","4","0"
"112","5.560 GHz","0 %","0 %","5.550 - 5.570 GHz","20","5 GHz UNII - 2 Ext","DFS","--","--","--","3","1","3","3","1","0"
"52","5.260 GHz","0 %","0 %","5.250 - 5.270 GHz","20","5 GHz UNII - 1/2","DFS","--","--","--","5","2","6","1","--","0"
"116","5.580 GHz","0 %","0 %","5.570 - 5.590 GHz","20","5 GHz UNII - 2 Ext","DFS","--","--","--","--","--","--","--","--","0"
"56","5.280 GHz","0 %","0 %","5.270 - 5.290 GHz","20","5 GHz UNII - 1/2","DFS","--","--","--","--","--","--","--","2","0"
"120","5.600 GHz","0 %","0 %","5.590 - 5.610 GHz","20","5 GHz UNII - 2 Ext","DFS","--","--","--","--","--","--","--","--","0"
"60","5.300 GHz","0 %","0 %","5.290 - 5.310 GHz","20","5 GHz UNII - 1/2","DFS","--","--","--","--","--","--","--","--","0"
"124","5.620 GHz","0 %","0 %","5.610 - 5.630 GHz","20","5 GHz UNII - 2 Ext","DFS","--","--","--","--","--","--","--","2","0"
