"Type","Band","Avg Power","Peak Power","Avg Util","Peak Utl","Number of Affected Channels","Affected Channels","Event Count","Duration","First Seen","Last Seen"
"Possible Interferer","2.4 GHz","-67 dBm","-66 dBm","67 %","75 %","4","10-13","2","2 s","February 22, 2021 at 01:07 PM","February 22, 2021 at 01:07 PM"
"Video Camera","2.4 GHz","-57 dBm","-54 dBm","73 %","100 %","5","10-14","12","93 s","February 22, 2021 at 01:10 PM","February 22, 2021 at 01:11 PM"
"Video Camera","2.4 GHz","-65 dBm","-65 dBm","50 %","100 %","5","10-14","4","14 s","February 22, 2021 at 01:31 PM","February 22, 2021 at 01:31 PM"
"Video Camera","2.4 GHz","-65 dBm","-61 dBm","50 %","100 %","5","10-14","9","73 s","February 22, 2021 at 01:08 PM","February 22, 2021 at 01:09 PM"
"Conventional Microwave","2.4 GHz","-62 dBm","-61 dBm","3 %","30 %","10","4-13","13","110 s","February 22, 2021 at 01:22 PM","February 22, 2021 at 01:23 PM"
"Video Camera","2.4 GHz","-60 dBm","-59 dBm","75 %","100 %","5","10-14","4","15 s","February 22, 2021 at 01:32 PM","February 22, 2021 at 01:32 PM"
"Video Camera","2.4 GHz","-69 dBm","-60 dBm","88 %","100 %","5","10-14","12","95 s","February 22, 2021 at 01:40 PM","February 22, 2021 at 01:42 PM"
"Bluetooth","2.4 GHz","-64 dBm","-49 dBm","0 %","0 %","13","1-13","21","190 s","February 22, 2021 at 01:35 PM","February 22, 2021 at 01:38 PM"
"Video Camera","2.4 GHz","-46 dBm","-41 dBm","91 %","100 %","5","10-14","35","329 s","February 22, 2021 at 01:24 PM","February 22, 2021 at 01:29 PM"
"Bluetooth","2.4 GHz","-62 dBm","-53 dBm","0 %","0 %","13","1-13","11","88 s","February 22, 2021 at 01:18 PM","February 22, 2021 at 01:19 PM"
"Bluetooth","2.4 GHz","-61 dBm","-51 dBm","0 %","0 %","13","1-13","9","65 s","February 22, 2021 at 01:12 PM","February 22, 2021 at 01:14 PM"
