"Mfg-MAC Address","Name","Signal","Channel","Band","Last Seen","Probes For"
"Chongqin:c0b5d7-b2a563","Chongqin:c0b5d7-b2a563","--","44","5 GHz","February 22, 2021 at 01:36 PM","--"
"Chongqin:b068e6-041a15","Chongqin:b068e6-041a15","--","5","2.4 GHz","February 22, 2021 at 01:37 PM","--"
"Apple:ac7f3e-eb2e4c","Apple:ac7f3e-eb2e4c","--","6","2.4 GHz","February 22, 2021 at 01:17 PM","ABSS 5GHz"
"MegaWell:105bad-b244bb","MegaWell:105bad-b244bb","--","2","2.4 GHz","February 22, 2021 at 01:37 PM","--"
"Local:4e10e8-3553d6","Local:4e10e8-3553d6","--","44","5 GHz","February 22, 2021 at 01:16 PM","--"
"Local:563a1e-321628","Local:563a1e-321628","-71 dBm","1","2.4 GHz","February 22, 2021 at 01:44 PM","--"
"MegaWell:105bad-b1822d","MegaWell:105bad-b1822d","-75 dBm","8","2.4 GHz","February 22, 2021 at 01:44 PM","srmwifi"
"Local:92221c-8895b5","Local:92221c-8895b5","--","48","5 GHz","February 22, 2021 at 01:15 PM","--"
"IntelCor:780cb8-0487e2","IntelCor:780cb8-0487e2","--","149","5 GHz","February 22, 2021 at 01:36 PM","--"
"Local:1e6eea-5d461a","Local:1e6eea-5d461a","--","157","5 GHz","February 22, 2021 at 01:15 PM","--"
"Local:aa1877-bd38eb","Local:aa1877-bd38eb","--","48","5 GHz","February 22, 2021 at 01:15 PM","--"
"Chongqin:c0b5d7-b2bb29","Chongqin:c0b5d7-b2bb29","--","56","5 GHz","February 22, 2021 at 01:15 PM","--"
"Local:2e1626-41069d","Local:2e1626-41069d","--","48","5 GHz","February 22, 2021 at 01:14 PM","--"
"Local:6a3a3e-321628","Local:6a3a3e-321628","--","48","5 GHz","February 22, 2021 at 01:37 PM","--"
"Local:4616bf-c76629","Local:4616bf-c76629","--","8","2.4 GHz","February 22, 2021 at 01:14 PM","--"
"HonHaiPr:541379-a27ee1","HonHaiPr:541379-a27ee1","--","56","5 GHz","February 22, 2021 at 01:36 PM","--"
"Local:5af67d-225933","Local:5af67d-225933","--","157","5 GHz","February 22, 2021 at 01:36 PM","--"
"Local:8a1524-9bab90","Local:8a1524-9bab90","--","149","5 GHz","February 22, 2021 at 01:36 PM","--"
"LiteonTe:f82819-e9f809","LiteonTe:f82819-e9f809","--","153","5 GHz","February 22, 2021 at 01:36 PM","--"
"Local:a29693-6bc8fb","Local:a29693-6bc8fb","--","40","5 GHz","February 22, 2021 at 01:36 PM","--"
